id,hour,minute,second,millis,yaw,pressure
0,15,37,16,2305,5.37,NaN
1,15,37,16,2395,-1.5,0.0
2,15,37,16,2497,0.85,0.0
3,15,37,16,2602,-5.11,89.0
4,15,37,16,2703,3.21,0.0
5,15,37,16,2806,-0.55,0.0
6,15,37,17,2907,0.28,0.0
7,15,37,17,3014,-5.8,150.0
8,15,37,17,3113,2.57,0.0
9,15,37,17,3216,1.34,0.0
10,15,37,17,3320,-0.94,0.0
11,15,37,17,3420,3.21,0.0
12,15,37,17,3525,-4.29,0.0
13,15,37,17,3626,2.07,0.0
14,15,37,17,3730,-1.28,0.0
15,15,37,17,3832,0.89,0.0
16,15,37,18,3937,-5.26,147.0
17,15,37,18,4037,3.25,0.0
18,15,37,18,4140,0.74,0.0
19,15,37,18,4242,2.54,0.0
20,15,37,18,4347,4.16,385.0
21,15,37,18,4448,6.34,0.0
22,15,37,18,4553,7.28,0.0
23,15,37,18,4654,6.37,0.0
24,15,37,18,4757,25.59,0.0
25,15,37,18,4859,-8.79,0.0
26,15,37,19,4964,-10.5,0.0
27,15,37,19,5064,-3.96,0.0
28,15,37,19,5168,13.04,0.0
29,15,37,19,5269,1.92,0.0
30,15,37,19,5374,-5.36,0.0
31,15,37,19,5476,-12.03,0.0
32,15,37,19,5577,6.89,0.0
33,15,37,19,5683,-3.18,148.0
34,15,37,19,5784,-3.64,0.0
35,15,37,19,5888,-14.39,0.0
36,15,37,20,5989,-4.79,0.0
37,15,37,20,6094,-25.43,90.0
38,15,37,20,6194,0.88,0.0
39,15,37,20,6298,-5.9,0.0
40,15,37,20,6400,0.63,0.0
41,15,37,20,6503,25.84,0.0
42,15,37,20,6608,-0.53,193.0
43,15,37,20,6709,-11.27,0.0
44,15,37,20,6811,-9.95,0.0
45,15,37,21,6915,25.59,0.0
46,15,37,21,7018,-17.2,0.0
47,15,37,21,7121,-10.25,0.0
48,15,37,21,7224,-11.2,0.0
49,15,37,21,7324,22.74,0.0
50,15,37,21,7427,1.64,0.0
51,15,37,21,7530,-9.12,0.0
52,15,37,21,7633,-4.12,0.0
53,15,37,21,7735,21.68,0.0
54,15,37,21,7840,-0.58,355.0
55,15,37,22,7941,-5.85,0.0
56,15,37,22,8043,-9.73,0.0
57,15,37,22,8145,8.0,0.0
58,15,37,22,8250,9.54,657.0
59,15,37,22,8351,0.55,0.0
60,15,37,22,8455,-11.98,0.0
61,15,37,22,8557,-1.53,0.0
62,15,37,22,8663,-15.39,433.0
63,15,37,22,8762,1.36,41.0
64,15,37,22,8866,-10.86,0.0
65,15,37,23,8968,-8.0,0.0
66,15,37,23,9071,21.47,0.0
67,15,37,23,9175,0.56,142.0
68,15,37,23,9276,-8.48,0.0
69,15,37,23,9378,-7.81,0.0
70,15,37,23,9481,16.6,0.0
71,15,37,23,9585,0.06,570.0
72,15,37,23,9686,-6.54,0.0
73,15,37,23,9790,-11.64,0.0
74,15,37,23,9891,8.24,0.0
75,15,37,24,9997,-5.01,296.0
76,15,37,24,10097,-3.38,1.0
77,15,37,24,10202,-11.46,0.0
78,15,37,24,10303,4.13,0.0
79,15,37,24,10409,-25.68,594.0
80,15,37,24,10510,-0.03,62.0
81,15,37,24,10612,-11.69,0.0
82,15,37,24,10715,-3.28,0.0
83,15,37,24,10818,25.74,0.0
84,15,37,25,10922,3.84,559.0
85,15,37,25,11022,-5.8,0.0
86,15,37,25,11126,-8.75,0.0
87,15,37,25,11228,18.21,0.0
88,15,37,25,11333,-0.26,558.0
89,15,37,25,11433,-2.18,0.0
90,15,37,25,11536,-9.34,0.0
91,15,37,25,11637,2.02,0.0
92,15,37,25,11743,16.48,647.0
93,15,37,25,11846,0.89,198.0
94,15,37,26,11947,-5.89,0.0
95,15,37,26,12050,-8.69,0.0
96,15,37,26,12152,3.3,0.0
97,15,37,26,12257,4.07,452.0
98,15,37,26,12358,2.94,581.0
